yr,mag,inj,fat
1951,3,1,0
1951,2,7,0
1951,2,0,0
1951,3,11,1
1951,2,0,0
1951,2,2,0
1951,2,6,0
1951,2,1,0
1951,1,0,0
1951,1,0,0
1951,1,0,0
1951,3,1,1
1951,0,0,0
1951,1,0,0
1951,2,0,0
1951,2,0,0
1951,1,0,0
1951,2,0,0
1951,1,0,0
1952,2,0,0
1952,2,8,0
1952,1,0,0
1952,1,0,0
1952,1,0,0
1952,1,0,0
1952,1,3,0
1952,1,1,0
1952,2,0,0
1952,2,0,0
1952,1,2,0
1952,1,1,0
1952,2,0,0
1952,0,0,0
1952,2,5,0
1952,2,0,0
1952,2,0,0
1952,0,0,0
1952,1,0,0
1952,3,14,1
1952,1,6,0
1952,1,0,0
1952,3,26,1
1952,1,1,0
1952,3,2,0
1952,1,2,0
1952,4,44,3
1952,3,2,0
1952,2,5,0
1952,2,4,0
1952,1,0,0
1952,1,166,3
1952,4,150,2
1952,2,0,0
1952,3,12,0
1952,2,0,0
1952,2,0,0
1952,2,3,0
1952,2,5,0
1952,0,0,0
1952,1,0,0
1952,3,6,0
1952,3,4,0
1952,3,0,0
1952,1,0,0
1952,1,0,0
1952,0,0,0
1952,2,1,0
1952,1,1,0
1952,2,0,0
1952,2,0,0
1952,4,9,7
1952,3,0,0
1952,4,325,50
1952,2,6,0
1952,4,6,2
1952,3,9,9
1952,2,15,5
1952,0,5,1
1952,3,0,0
1952,4,180,29
1952,3,6,0
1952,4,10,2
1952,4,5,4
1952,3,96,3
1952,3,5,1
1952,3,57,1
1952,4,100,17
1952,3,30,10
1952,4,5,4
1952,0,1,0
1952,4,74,16
1952,4,24,9
1952,4,50,7
1952,2,2,2
1952,3,3,0
1952,2,8,1
1952,3,19,0
1952,4,157,38
1952,2,0,0
1952,3,18,0
1952,2,10,3
1952,1,1,0
1952,4,50,4
1952,2,1,0
1952,1,0,0
1952,3,10,0
1952,2,33,4
1952,2,3,0
1952,1,2,0
1952,1,1,0
1952,2,0,0
1952,2,2,0
1952,2,0,0
1952,1,0,0
1952,3,4,0
1952,0,6,0
